run_id,framework,dataset,strategy,partition_strategy,clients,rounds,samples_per_client,alpha,shards_per_client,epochs,final_accuracy,final_loss,final_accuracy_std,final_worst_client_accuracy,fairness_gap,wall_clock_time_seconds,avg_cpu_usage_percent,avg_peak_memory_mb,avg_compute_time_seconds,avg_comm_size_mb,avg_aggregation_time_sec,started_at,completed_at,n_rounds_logged,framework_label,dataset_label
flower-cifar100-aug23_1205-9173,flower,cifar100,FedAvg,iid,2,5,500,,,3,0.05,5.364584028720856,0.03,0.02,0.030000000000000002,36.81,1.51,646.86953125,1.4532416105270385,6.3966217041015625,0.012493515014648437,2026-08-23 12:05:53.109524,2026-08-23 12:06:43.629561,5,Flower,CIFAR-100
flower-cifar100-aug23_1206-7ba0,flower,cifar100,FedAvg,iid,2,10,500,,,3,0.14,7.420739769935608,0.0,0.14,0.0,67.8,1.295,677.146484375,1.4666256308555603,6.3966217041015625,0.012586474418640137,2026-08-23 12:06:53.174035,2026-08-23 12:08:15.616299,10,Flower,CIFAR-100
flower-cifar100-aug23_1208-bb11,flower,cifar100,FedAvg,iid,2,15,500,,,3,0.16,8.737963557243347,0.02,0.14,0.01999999999999999,96.09,1.1566666666666667,656.5666666666667,1.3859896898269652,6.3966217041015625,0.011892223358154297,2026-08-23 12:08:23.259902,2026-08-23 12:10:13.920455,15,Flower,CIFAR-100
flower-cifar100-aug23_1210-e0c7,flower,cifar100,FedAvg,iid,5,5,500,,,3,0.112,4.098825740814209,0.0271,0.08,0.032,72.23,1.4520000000000004,668.4590625,1.4057779121398926,6.3966217041015625,0.023087453842163087,2026-08-23 12:10:23.369961,2026-08-23 12:11:50.344274,5,Flower,CIFAR-100
flower-cifar100-aug23_1211-9262,flower,cifar100,FedAvg,iid,5,10,500,,,3,0.136,4.606819343566895,0.048,0.08,0.05600000000000001,134.25,1.2840000000000003,682.36859375,1.4368503952026368,6.3966217041015625,0.019370555877685547,2026-08-23 12:11:53.454525,2026-08-23 12:14:21.878951,10,Flower,CIFAR-100
flower-cifar100-aug23_1214-c851,flower,cifar100,FedAvg,iid,5,15,500,,,3,0.172,5.5600604057312015,0.0614,0.06,0.11199999999999999,196.76,1.1733333333333338,680.333125,1.3372740332285564,6.3966217041015625,0.019388834635416668,2026-08-23 12:14:23.594373,2026-08-23 12:17:54.592455,15,Flower,CIFAR-100
flower-cifar100-aug23_1218-f15a,flower,cifar100,FedAvg,iid,8,5,500,,,3,0.13,3.9055982381105423,0.0283,0.08,0.05,107.78,1.6275000000000006,673.035546875,1.5046373069286347,6.3966217041015625,0.031201982498168947,2026-08-23 12:18:03.799753,2026-08-23 12:20:06.039880,5,Flower,CIFAR-100
flower-cifar100-aug23_1220-ef9c,flower,cifar100,FedAvg,iid,8,10,500,,,3,0.145,4.144606664776802,0.0296,0.08,0.06499999999999999,203.01,1.345,684.486865234375,1.436450657248497,6.3966217041015625,0.03121504783630371,2026-08-23 12:20:13.926150,2026-08-23 12:23:50.909545,10,Flower,CIFAR-100
flower-cifar100-aug23_1223-a961,flower,cifar100,FedAvg,iid,8,15,500,,,3,0.175,4.4179814755916595,0.0278,0.12,0.05499999999999999,304.04,1.283333333333332,684.29453125,1.46247488061587,6.3966217041015625,0.0290617307027181,2026-08-23 12:23:54.137806,2026-08-23 12:29:12.530092,15,Flower,CIFAR-100
flower-cifar100-aug23_1752-34f1,flower,cifar100,FedProx,iid,5,10,2000,,,3,0.246,3.4899388449532647,0.026,0.205,0.04100000000000001,198.5,2.2680000000000002,731.16546875,7.485863976478576,6.3966217041015625,0.022252726554870605,2026-08-23 17:52:43.427555,2026-08-23 17:56:16.014756,10,Flower,CIFAR-100
flower-cifar100-aug23_1756-0d44,flower,cifar100,FedAvg,shard,5,10,2000,,2.0,3,0.226,3.47794177872794,0.0472,0.175,0.05100000000000002,183.07,2.0380000000000003,707.829921875,5.847083301544189,6.3966217041015625,0.021564483642578125,2026-08-23 17:56:28.567907,2026-08-23 17:59:45.976707,10,Flower,CIFAR-100
flower-cifar100-aug23_1759-3b05,flower,cifar100,FedProx,shard,5,10,2000,,2.0,3,0.235,3.2501063074384415,0.0179,0.21,0.024999999999999994,197.63,2.1839999999999993,733.229140625,7.073888354301452,6.3966217041015625,0.02019054889678955,2026-08-23 17:59:58.691947,2026-08-23 18:03:30.606745,10,Flower,CIFAR-100
flower-cifar100-aug23_1803-5153,flower,cifar100,FedAvg,dirichlet,5,10,2000,0.5,,3,0.254,4.080323362350464,0.0338,0.215,0.03900000000000001,185.61,2.042,706.5540625,5.729815969467163,6.3966217041015625,0.021222233772277832,2026-08-23 18:03:43.820445,2026-08-23 18:07:04.205994,10,Flower,CIFAR-100
flower-cifar100-aug23_1807-a463,flower,cifar100,FedProx,dirichlet,5,10,2000,0.5,,3,0.235,3.608294425691877,0.027,0.205,0.03,199.54,2.2279999999999998,737.385546875,7.285509867668152,6.3966217041015625,0.020352697372436522,2026-08-23 18:07:13.954820,2026-08-23 18:10:47.503905,10,Flower,CIFAR-100
nvflare-femnist-aug24_1348-f29a,nvflare,femnist,FedAvg,iid,8,5,1000,,,3,0.65,1.1260662078857422,0.0401,0.65,0.0,1594.58,99.10499999999998,844.85830078125,285.3811667740345,6.320060729980469,24.256,2026-08-24 13:48:47.770179,2026-08-24 14:15:23.105621,5,NVFlare,FEMNIST
nvflare-femnist-aug24_2020-e284,nvflare,femnist,FedAvg,iid,8,10,2000,,,3,0.81,0.8300937329019819,0.0197,0.8,0.010000000000000009,107.38,35.92249999999999,815.560546875,3.2481031894683836,6.320060729980469,4.515,2026-08-24 20:20:20.893459,2026-08-24 20:22:08.900159,10,NVFlare,FEMNIST
nvflare-femnist-aug24_2025-32a4,nvflare,femnist,FedAvg,iid,2,10,4000,,,3,0.81,0.97099952514355,0.0,0.81,0.0,129.64,34.26,807.3240234375,6.829091572761536,6.320060729980469,2.881,2026-08-24 20:25:51.115041,2026-08-24 20:28:01.335056,10,NVFlare,FEMNIST
nvflare-femnist-aug24_2031-9f9d,nvflare,femnist,FedAvg,iid,5,5,4000,,,3,0.8075,0.6160444193161451,0.0102,0.8,0.007499999999999951,79.07,35.304,814.389375,5.9174711132049564,6.320060729980469,3.5680000000000005,2026-08-24 20:31:06.286707,2026-08-24 20:32:25.981439,5,NVFlare,FEMNIST
nvflare-cifar100-aug24_2045-e17c,nvflare,cifar100,FedProx,iid,5,10,2000,,,3,0.21,3.254814011710031,0.0393,0.205,0.0050000000000000044,112.15,34.86599999999999,628.14734375,4.981792392730713,6.3966217041015625,3.9869999999999997,2026-08-24 20:45:36.812630,2026-08-24 20:47:29.607036,10,NVFlare,CIFAR-100
nvflare-cifar100-aug24_2047-234d,nvflare,cifar100,FedAvg,shard,5,10,2000,,2.0,3,0.135,3.4602011271885464,0.0341,0.135,0.0,90.99,35.13199999999999,616.269296875,3.505130395889282,6.3966217041015625,3.405,2026-08-24 20:47:36.892152,2026-08-24 20:49:08.534267,10,NVFlare,CIFAR-100
nvflare-cifar100-aug24_2049-c574,nvflare,cifar100,FedProx,shard,5,10,2000,,2.0,3,0.165,3.429392235619681,0.0297,0.165,0.0,105.93,35.025999999999996,633.779375,4.681663031578064,6.3966217041015625,3.4539999999999997,2026-08-24 20:49:21.959448,2026-08-24 20:51:08.500275,10,NVFlare,CIFAR-100
nvflare-cifar100-aug24_2051-f52b,nvflare,cifar100,FedAvg,dirichlet,5,10,2000,0.5,,3,0.255,3.5921994958605086,0.0236,0.195,0.06,94.03,34.866,616.141796875,3.6368669652938843,6.3966217041015625,2.689,2026-08-24 20:51:22.038394,2026-08-24 20:52:56.695979,10,NVFlare,CIFAR-100
nvflare-cifar100-aug24_2053-315c,nvflare,cifar100,FedProx,dirichlet,5,10,2000,0.5,,3,0.24,3.387289421898978,0.013,0.205,0.035,108.73,35.257999999999996,635.554140625,4.625904369354248,6.3966217041015625,4.269,2026-08-24 20:53:07.105009,2026-08-24 20:54:56.427001,10,NVFlare,CIFAR-100
fedml-cifar100-aug24_2108-da4a,fedml,cifar100,FedAvg,iid,2,5,1000,,,3,0.095,5.45104444026947,0.005,0.09,0.0050000000000000044,22.72,33.15,728.949609375,1.8591591358184814,6.3966217041015625,0.0,2026-08-24 21:08:42.265390,2026-08-24 21:09:13.943212,5,FedML,CIFAR-100
fedml-cifar100-aug24_2109-b345,fedml,cifar100,FedAvg,iid,2,10,1000,,,3,0.115,9.148848354816437,0.025,0.09,0.02500000000000001,34.88,35.385000000000005,741.3939453125,1.9696673989295959,6.3966217041015625,0.0,2026-08-24 21:09:27.300271,2026-08-24 21:10:11.368933,10,FedML,CIFAR-100
