run_id,framework,dataset,strategy,partition_strategy,clients,rounds,samples_per_client,alpha,shards_per_client,epochs,final_accuracy,final_loss,final_accuracy_std,final_worst_client_accuracy,fairness_gap,wall_clock_time_seconds,avg_cpu_usage_percent,avg_peak_memory_mb,avg_compute_time_seconds,avg_comm_size_mb,avg_aggregation_time_sec,started_at,completed_at,n_rounds_logged
fedml-cifar100-aug24_2108-da4a,fedml,cifar100,FedAvg,iid,2,5,1000,,,3,0.095,5.45104444026947,0.005,0.09,0.0050000000000000044,22.72,33.15,728.949609375,1.8591591358184814,6.3966217041015625,0.0,2026-08-24 21:08:42.265390,2026-08-24 21:09:13.943212,5
fedml-cifar100-aug24_2109-b345,fedml,cifar100,FedAvg,iid,2,10,1000,,,3,0.115,9.148848354816437,0.025,0.09,0.02500000000000001,34.88,35.385000000000005,741.3939453125,1.9696673989295959,6.3966217041015625,0.0,2026-08-24 21:09:27.300271,2026-08-24 21:10:11.368933,10
fedml-cifar100-aug24_2110-9409,fedml,cifar100,FedAvg,iid,2,15,1000,,,3,0.14,11.10331517457962,0.02,0.12,0.020000000000000018,46.28,33.36666666666666,751.888671875,1.9290714979171752,6.3966217041015625,0.0,2026-08-24 21:10:12.337483,2026-08-24 21:11:07.518831,15
fedml-cifar100-aug24_2111-4f56,fedml,cifar100,FedAvg,iid,5,10,1000,,,3,0.142,5.259318327903747,0.0223,0.11,0.03199999999999999,42.62,36.209999999999994,744.188359375,2.0104175424575805,6.3966217041015625,0.0,2026-08-24 21:11:57.423098,2026-08-24 21:12:49.172460,10
fedml-cifar100-aug24_2111-dae7,fedml,cifar100,FedAvg,iid,5,5,1000,,,3,0.116,4.24984130859375,0.0258,0.08,0.036000000000000004,29.73,35.39200000000001,736.99828125,2.0512138652801513,6.3966217041015625,0.0,2026-08-24 21:11:12.385107,2026-08-24 21:11:50.966485,5
fedml-cifar100-aug24_2112-ffc0,fedml,cifar100,FedAvg,iid,5,15,1000,,,3,0.184,6.4233298063278195,0.0287,0.15,0.034,53.22,36.69333333333331,753.5574479166667,1.9363463973999024,6.3966217041015625,0.0013333333333333333,2026-08-24 21:12:57.469912,2026-08-24 21:13:59.749964,15
fedml-cifar100-aug24_2114-f0db,fedml,cifar100,FedAvg,iid,8,5,1000,,,3,0.13125,4.15139489620924,0.0333,0.09,0.04125000000000001,36.25,36.102500000000006,735.8111328125,2.186042708158493,6.3966217041015625,0.0,2026-08-24 21:14:12.528777,2026-08-24 21:14:57.838178,5
fedml-cifar100-aug24_2115-1056,fedml,cifar100,FedAvg,iid,8,10,1000,,,3,0.20625,4.819836311042309,0.03,0.15,0.056249999999999994,49.48,38.303749999999994,747.7623046875,2.1486126512289045,6.3966217041015625,0.0,2026-08-24 21:15:12.576605,2026-08-24 21:16:11.132984,10
fedml-cifar100-aug24_2116-6d25,fedml,cifar100,FedAvg,iid,8,15,1000,,,3,0.21625,5.5842591524124146,0.0312,0.17,0.046249999999999986,61.64,38.505833333333335,750.1133463541667,2.0235317508379618,6.3966217041015625,0.0,2026-08-24 21:16:12.625995,2026-08-24 21:17:23.442357,15
fedml-cifar100-aug24_2117-86ba,fedml,cifar100,FedAvg,iid,2,5,2000,,,3,0.1825,4.908424939428056,0.0125,0.17,0.012499999999999983,33.89,33.15,758.943359375,3.9339069366455077,6.3966217041015625,0.0,2026-08-24 21:17:27.684042,2026-08-24 21:18:10.738335,5
